pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Arménie,1,2013,Blé,2511,554000,93000,30000,32000,10000,389000,0
Arménie,1,2013,Orge,2513,198000,137000,14000,15000,7000,0,26000
Arménie,1,2013,Maïs,2514,102000,96000,0,7000,,0,
Arménie,1,2013,Seigle,2515,1000,1000,0,0,,0,
Arménie,1,2013,Avoine,2516,6000,4000,0,0,,1000,
Arménie,1,2013,Millet,2517,0,0,,,,,
Arménie,1,2013,Sorgho,2518,0,0,,,,,
Arménie,1,2013,"Céréales, Autres",2520,21000,1000,1000,1000,,6000,12000
Arménie,1,2013,Pommes de Terre,2531,672000,225000,123000,96000,78000,134000,16000
Arménie,1,2013,Manioc,2532,0,0,,,,,
Arménie,1,2013,Racines nda,2534,0,0,,,,,
Arménie,1,2013,"Sucre, betterave",2537,55000,1000,,,54000,,
Arménie,1,2013,Sucre Eq Brut,2542,93000,,,,,98000,0
Arménie,1,2013,Edulcorants Autres,2543,5000,,,,,5000,0
Arménie,1,2013,Haricots,2546,5000,5000,0,0,,,
Arménie,1,2013,Pois,2547,2000,2000,,,,,
Arménie,1,2013,Légumineuses Autres,2549,3000,3000,,0,,0,
Arménie,1,2013,Noix,2551,6000,,,0,,6000,
Arménie,1,2013,Soja,2555,0,0,,,,0,
Arménie,1,2013,Arachides Decortiquees,2556,1000,,,,,1000,
