pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Islande,99,2013,Girofles,2642,0,,,,,0,
Islande,99,2013,"Épices, Autres",2645,0,,,,,0,
Islande,99,2013,Vin,2655,4000,,,,,4000,0
Islande,99,2013,Bière,2656,24000,,,,,24000,
Islande,99,2013,Boissons Fermentés,2657,0,,,,,0,
Islande,99,2013,Boissons Alcooliques,2658,1000,,,,,0,0
Islande,99,2013,"Alcool, non Comestible",2659,1000,,,,,,1000
Islande,99,2013,Aliments pour enfants,2680,0,,,,,0,
Islande,99,2013,Viande de Bovins,2731,4000,,,,,4000,
Islande,99,2013,Viande d'Ovins/Caprins,2732,7000,,,,,7000,
Islande,99,2013,Viande de Suides,2733,7000,,,,,7000,
Islande,99,2013,Viande de Volailles,2734,9000,,,,,9000,
Islande,99,2013,"Viande, Autre",2735,3000,,,,0,3000,
Islande,99,2013,Abats Comestible,2736,1000,,,,,1000,
Islande,99,2013,Graisses Animales Crue,2737,1000,,,,0,0,0
Islande,99,2013,"Beurre, Ghee",2740,2000,,,,,2000,
Islande,99,2013,Crème,2743,3000,,,,,3000,
Islande,99,2013,Oeufs,2744,3000,,0,0,,3000,
Islande,99,2013,Miel,2745,0,,,,,0,
Islande,99,2013,Poissons Eau Douce,2761,2000,,,,,2000,0
Islande,99,2013,Perciform,2762,19000,3000,,,,9000,8000
Islande,99,2013,Poissons Pelagiques,2763,15000,0,0,,,14000,0
Islande,99,2013,"Poissons Marins, Autres",2764,0,0,,,,0,0
Islande,99,2013,Crustacés,2765,6000,,,,,6000,0
Islande,99,2013,Cephalopodes,2766,3000,,,,,0,3000
Islande,99,2013,"Mollusques, Autres",2767,0,,,,,0,0
Islande,99,2013,Animaux Aquatiques Autre,2769,1000,,,,,0,1000
Islande,99,2013,Plantes Aquatiques,2775,13000,,,,,0,13000
Islande,99,2013,Huiles de Poissons,2781,13000,13000,,,,0,0
Islande,99,2013,Huiles de Foie de Poisso,2782,0,,,,,0,0
Islande,99,2013,Riz (Eq Blanchi),2805,1000,0,,,,1000,0
Islande,99,2013,Lait - Excl Beurre,2848,119000,44000,,,,75000,0
Islande,99,2013,Miscellanees,2899,,,,,,,
Inde,100,2013,Blé,2511,86372000,1870000,3060000,5611000,0,75833000,
Inde,100,2013,Orge,2513,1226000,158000,97000,35000,102000,835000,
Inde,100,2013,Maïs,2514,18188000,6990000,946000,2330000,0,7876000,45000
